name,id,description
Prevention,5,"Preventing and reducing waste generation."
Preparing for reuse,4,"Giving the products a second life before they become waste."
Recycling,3,"Any recovery operation by which waste materials are reprocessed into products, materials or substances whether for the original or other purposes. It includes composting and it does not include incineration."
Recovery,2,"Some waste incineration based on a political non-scientific formula that upgrades the less inefficient incinerators."
Disposal,1,"Processes to dispose of waste be it landfilling, incineration, pyrolisis, gasification and other finalist solutions."
